Year,Price,Mileage,Trim
2023,"$49,798","27,766",AWD
2023,"$41,999","29,083",RWD
2023,"$36,998","53,291",RWD
2023,"$47,124","18,363",RWD
2023,"$41,683","41,025",RWD
2023,"$42,881","38,751",RWD
2023,"$49,029","38,210",RWD
2023,"$52,599","27,130",RWD
2023,"$52,743","28,335",RWD
2023,"$41,888","34,307",RWD
2022,"$36,495","27,985",RWD
2023,"$45,980","21,775",RWD
2023,"$49,999","14,855",AWD
2023,"$42,998","32,876",RWD
2023,"$39,716","39,294",RWD
2023,"$47,999","22,448",RWD
2023,"$41,777","35,131",RWD
2022,"$39,977","27,500",RWD
2023,"$47,299","23,408",AWD
2022,"$46,991","23,473",AWD
2023,"$45,491","25,222",RWD
2023,"$42,991","34,343",RWD
2023,"$40,991","40,021",RWD
2023,"$43,999","25,307",RWD
2023,"$44,991","44,488",Other
2023,"$47,991","23,121",Other
2022,"$42,322","36,658",Other
2023,"$40,999","42,186",RWD
2023,"$49,999","27,578",Other
2023,"$48,727","22,298",AWD
2023,"$46,998","43,482",AWD
2023,"$47,989","21,214",RWD
2023,"$52,988","6,217",RWD
2023,"$49,988","23,472",RWD
2023,"$42,962","26,712",RWD
2023,"$51,980","10,982",AWD
2023,"$49,980","28,356",AWD
2023,"$49,980","8,667",RWD
2022,"$45,370","41,668",AWD
2023,"$43,995","31,722",RWD
2021,"$36,998","24,295",RWD
2022,"$37,999","38,630",RWD
2023,"$49,979","31,353",AWD
2022,"$32,113","77,322",RWD
2023,"$47,000","40,925",AWD
2023,"$47,500","35,221",AWD
2023,"$47,500","51,023",AWD
2023,"$38,275","61,913",AWD
2023,"$44,900","29,156",RWD
2023,"$51,998","15,771",AWD
2023,"$44,471","44,444",AWD
2022,"$49,385","43,056",AWD
2023,"$46,341","51,878",AWD
2023,"$41,581","36,779",RWD
2023,"$51,900","24,680",AWD
2022,"$36,000","50,076",RWD
2023,"$47,987","26,112",RWD
2022,"$45,995","19,877",Other
2023,"$47,895","33,286",Other
2021,"$36,895","37,449",Other
2023,"$40,462","48,810",RWD
2022,"$38,494","51,537",AWD
2023,"$49,995","18,507",AWD
2022,"$45,000","27,655",AWD
2023,"$47,987","25,585",AWD
2022,"$45,887","35,110",AWD
2023,"$45,995","29,057",RWD
2022,"$42,566","23,847",AWD
2022,"$47,653","29,587",AWD
2023,"$50,991","24,677",AWD
2023,"$44,699","12,217",RWD
2021,"$30,657","64,731",RWD
2023,"$39,706","45,700",RWD
2023,"$52,989","23,782",AWD
2021,"$40,994","31,059",AWD
2023,"$43,995","35,352",AWD
2022,"$41,990","33,833",AWD
2023,"$49,589","15,061",AWD
2023,"$45,540","33,272",AWD
2023,"$46,999","25,864",AWD
2022,"$44,639","31,768",AWD
2023,"$47,471","42,294",AWD
2023,"$52,495","12,715",AWD
2023,"$48,943","26,406",AWD
2023,"$52,998","8,525",AWD
2022,"$47,491","28,294",AWD
2023,"$46,475","28,367",AWD
2023,"$47,145","29,942",AWD
2023,"$47,301","31,234",AWD
2022,"$41,733","48,164",AWD
2023,"$44,379","49,620",AWD
2021,"$42,950","40,330",AWD
2023,"$49,443","28,931",AWD
2023,"$49,961","21,541",AWD
2023,"$47,242","40,486",AWD
2023,"$46,502","41,022",AWD
2023,"$52,693","13,238",AWD
2022,"$40,570","50,771",AWD
2023,"$50,497","25,056",AWD
2022,"$49,995","25,696",AWD
2023,"$48,575","35,345",AWD
2022,"$43,875","42,423",AWD
